,appid,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,rtime_last_played,playtime_2weeks,player
0,10,4,0,0,0,1523659121,,1
1,80,0,0,0,0,0,,1
2,100,0,0,0,0,0,,1
3,300,0,0,0,0,0,,1
4,20,0,0,0,0,0,,1
5,30,0,0,0,0,0,,1
6,40,0,0,0,0,0,,1
7,50,0,0,0,0,0,,1
8,60,0,0,0,0,0,,1
9,70,28,0,0,0,1498627659,,1
10,130,0,0,0,0,0,,1
11,220,0,0,0,0,0,,1
12,340,0,0,0,0,0,,1
13,240,0,0,0,0,0,,1
14,280,0,0,0,0,0,,1
15,360,0,0,0,0,0,,1
16,320,0,0,0,0,0,,1
17,380,0,0,0,0,0,,1
18,4000,0,0,0,0,0,,1
19,6880,0,0,0,0,0,,1
20,400,6,0,0,0,1498628217,,1
21,420,0,0,0,0,0,,1
22,500,0,0,0,0,0,,1
23,17480,61,61,0,0,1650613959,,1
24,550,712,0,0,0,1540947114,,1
25,8190,2,0,0,0,1501523588,,1
26,35140,0,0,0,0,0,,1
27,8930,93,0,0,0,1547418621,,1
28,620,4,0,0,0,1514508460,,1
29,105600,59,21,0,0,1656024431,,1
30,20920,398,0,0,0,1504324275,,1
31,107100,51,0,0,0,1511911322,,1
32,113200,19,0,0,0,1511735486,,1
33,200260,3,0,0,0,1496583615,,1
34,220440,283,1,0,0,1576284764,,1
35,227300,87,0,0,0,1558844454,,1
36,230410,72,0,0,0,1500917782,,1
37,236390,19,0,0,0,1544893330,,1
38,203160,195,0,0,0,1507392605,,1
39,220200,0,0,0,0,0,,1
40,242760,651,532,0,0,1625847790,,1
41,244850,367,325,0,0,1659999784,,1
42,218620,16,0,0,0,1540055284,,1
43,209000,0,0,0,0,0,,1
44,251570,247,59,0,0,1583652539,,1
45,242050,1035,991,0,0,1639104027,,1
46,49520,2180,0,0,0,1560392642,,1
47,261550,3258,3258,0,0,1655759134,,1
48,262060,222,98,0,0,1643263903,,1
49,16700,0,0,0,0,0,,1
50,40970,0,0,0,0,0,,1
51,264710,2258,0,0,0,1555693500,,1
52,268910,10,10,0,0,1593452262,,1
53,270150,129,114,0,0,1650429359,,1
54,271590,2174,0,0,0,1551741062,,1
55,224480,217,217,0,0,1579710347,,1
56,222880,107,0,0,0,1501523409,,1
57,278080,11,0,0,0,1552283484,,1
58,48700,52,0,0,0,1520884858,,1
59,280160,3,0,0,0,1517497778,,1
60,281990,738,0,0,0,1550754335,,1
61,285900,0,0,0,0,0,,1
62,8870,641,456,0,0,1595470772,,1
63,237930,0,0,0,0,0,,1
64,286690,120,0,0,0,1547407208,,1
65,287390,88,0,0,0,1501217890,,1
66,301640,0,0,0,0,0,,1
67,301860,0,0,0,0,0,,1
68,310560,22,0,0,0,1514427251,,1
69,323190,6,6,0,0,1583707023,,1
70,241930,2291,0,0,0,1514423256,,1
71,307690,8,0,0,0,1526301463,,1
72,324800,490,0,0,0,1548870116,,1
73,274940,945,0,0,0,1499090152,,1
74,730,5543,486,0,0,1631768354,,1
75,298110,1944,0,0,0,1542833804,,1
76,305620,104,59,0,0,1638344850,,1
77,282070,426,0,0,0,1538505590,,1
78,334920,0,0,0,0,0,,1
79,319630,9,0,0,0,1548384036,,1
80,230290,0,0,0,0,0,,1
81,346110,257,257,0,0,1655484990,,1
82,407530,0,0,0,0,0,,1
83,287290,22,1,0,0,1657480964,,1
84,350640,406,59,0,0,1604468547,,1
85,311560,666,0,0,0,1530812488,,1
86,355180,0,0,0,0,0,,1
87,255710,27,0,0,0,1517009385,,1
88,235540,0,0,0,0,0,,1
89,361280,941,9,0,0,1569861677,,1
90,361420,40,0,0,0,1549605612,,1
91,365360,36,36,0,0,1660419121,,1
92,367520,22,0,0,0,1562005342,,1
93,219740,15,0,0,0,1503858720,,1
94,329050,39,39,0,0,1581540833,,1
95,322330,1789,1739,0,0,1663728633,,1
96,384180,18673,18673,0,0,1664870581,,1
97,383870,0,0,0,0,0,,1
98,386070,72,0,0,0,1547124419,,1
99,386940,279,273,0,0,1583995487,,1
100,215530,0,0,0,0,0,,1
101,272470,0,0,0,0,0,,1
102,310510,0,0,0,0,0,,1
103,359900,0,0,0,0,0,,1
104,396750,57,0,0,0,1550886121,,1
105,397540,4081,4081,0,0,1590815866,,1
106,413150,961,728,0,0,1660550480,,1
107,225540,119,0,0,0,1501561071,,1
